"Variable_Name","Variable_Label","Variable_Definition","R_Datatype","Python_Datatype","Pandas_Datatype","Values","Maximum_Number_of_Different_Values_in_the_Dataset","Comment","Type_of_Variable"
"FRCV (0 - no o no consta; 1 - sí) y AP [Hipertensión arterial]","ht","Hypertension","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"FRCV (0 - no o no consta; 1 - sí) y AP [Diabétes Mellitus]","dmellitus","Diabetes Mellitus","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"FRCV (0 - no o no consta; 1 - sí) y AP [Dislipemias]","dyslipidemia","Dyslipidemia","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"FRCV (0 - no o no consta; 1 - sí) y AP [AP de hemorragias intracraneales previas]","previous_ich","Previous medical history of intracranial hemorrhages","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"FRCV (0 - no o no consta; 1 - sí) y AP [AP de enfermedades cardiovasculares]","cv_diseases","Previous medical history of cardiovascular diseases","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"FRCV (0 - no o no consta; 1 - sí) y AP [AP de arritmias cardiacas]","carrhythmias","Previous medical history of cardiac arrhythmias","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"FRCV (0 - no o no consta; 1 - sí) y AP [AP de cardiopatía estructural]","structural_heart_disease","Previous medical history of structural heart diseases","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"FRCV (0 - no o no consta; 1 - sí) y AP [AP de vascular]","vascular_diseases","Previous medical history of vascular diseases","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"FRCV (0 - no o no consta; 1 - sí) y AP [AP de enfermedades neurológicas]","neurological_diseases","Previous medical history of neurological diseases","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"FRCV (0 - no o no consta; 1 - sí) y AP [AP deterioro cognitivo/demencia]","dementia","Previous medical history of dementia","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"FRCV (0 - no o no consta; 1 - sí) y AP [AP depresión]","depression","Previous medical history of depression","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"FRCV (0 - no o no consta; 1 - sí) y AP [AP enfermedades psiquiátricas]","psychiatric_diseases","Previous medical history of psychiatric diseases","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"FRCV (0 - no o no consta; 1 - sí) y AP [AP de enfermedades tumorales o autoinmunes]","cancerous_autoimmune_diseases","Previous medical history of cancerous or autoimmune diseases","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"FRCV (0 - no o no consta; 1 - sí) y AP [AP de enfermedades tumorales]","cancerous_diseases","Previous medical history of cancerous diseases","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"FRCV (0 - no o no consta; 1 - sí) y AP [AP de enfermedades autoinmunes]","autoimmune_diseases","Previous medical history of autoimmune diseases","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"FRCV (0 - no o no consta; 1 - sí) y AP [AP de hiper/hipotiroidismo]","hyper_hypo_thyroidism","Previous medical history of hyper or hypothyroidism","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"FRCV (0 - no o no consta; 1 - sí) y AP [AP de enfermedades hematológicas]","haematological_disorders","Previous medical history of haematological disorders","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"FRCV (0 - no o no consta; 1 - sí) y AP [AP de otras enfermedades mayores]","other_diseases","Previous medical history of other relevant diseases","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Tratamiento (nº fármacos que toma) [Antichipertensivo]","antihypertensives","Number of antihypertensive medications usually taken by the patient","numeric","int","int64","From 0 to inf, NA (Missing value)","300",NA,"Predictor"
"Tratamiento (nº fármacos que toma) [Antidiabético]","antidiabetics","Number of antidiabetic medications usually taken by the patient","numeric","int","int64","From 0 to inf","300",NA,"Predictor"
"Tratamiento (nº fármacos que toma) [Hipolipemiante]","hypolipidemics","Number of hypolipidemic medications usually taken by the patient","numeric","int","int64","From 0 to inf","300",NA,"Predictor"
"Tratamiento (nº fármacos que toma) [Anticoagulante]","anticoagulants","Number of anticoagulant medications usually taken by the patient","numeric","int","int64","From 0 to inf","300",NA,"Predictor"
"Tratamiento (nº fármacos que toma) [Antiagregante]","antiplatelets","Number of antiplatelet medications usually taken by the patient","numeric","int","int64","From 0 to inf","300",NA,"Predictor"
"Tratamiento (nº fármacos que toma) [Quimioterápico]","chemotherapeutics","Number of chemotherapeutic medications usually taken by the patient","numeric","int","int64","From 0 to inf","300",NA,"Predictor"
"Tratamiento (nº fármacos que toma) [Digoxina]","digoxin","Digoxin intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Tratamiento (nº fármacos que toma) [Otros]","n_other_medications","Number of other relevant medications usually taken by the patient","numeric","int","int64","From 0 to inf","300",NA,"Predictor"
"Antichipertensivos (0-no; 1; sí) [IECAs]","aceis","Angiotensin converting enzyme inhibitors (ACEI) intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Antichipertensivos (0-no; 1; sí) [ARA II]","arbs","Angiotensin Receptor Blockers (ARB) intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Antichipertensivos (0-no; 1; sí) [Calcioantagonistas]","ccbs","Calcium channel blockers (CCB) intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Antichipertensivos (0-no; 1; sí) [Beta-bloqueantes]","bblockers","Beta-blockers (bblockers) intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Antichipertensivos (0-no; 1; sí) [Alfa-bloqueantes]","ablockers","Alpha-blockers intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Antichipertensivos (0-no; 1; sí) [Alfa-bloqueantes]","ablockers1","Alpha-blockers medications routinely used in the treatment of hypertension (doxazosin...) intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Antichipertensivos (0-no; 1; sí) [Alfa-bloqueantes ""otros""]","ablockers2","Alpha-blockers medications not routinely used in the treatment of hypertension (tamsulosin...) intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Antichipertensivos (0-no; 1; sí) [Diuréticos]","diuretics","Diuretics intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Antichipertensivos (0-no; 1; sí) [Otros]","other_antihypertensives","Other antihypertensive drug intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Antidiabéticos (0-no; 1; sí) [Biguanidas (metformina; ...)]","biguanides","Biguanides (metformin...) intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Antidiabéticos (0-no; 1; sí) [Sulfonilureas (glimepirida; ...)]","sulfonylureas","Sulfonylureas (glimepiride;...) intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Antidiabéticos (0-no; 1; sí) [Glinidas (repaglinida...)]","glinides","Glinides (repaglinide;...) intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Antidiabéticos (0-no; 1; sí) [Análogos GLP1 (exanatide; liraglutide...)]","glp1a","Glucagon-like peptide-1 agonists (GLP-1) (liraglutide;...) intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Antidiabéticos (0-no; 1; sí) [Inhibidores DPP4 (saxagliptina;...)]","dpp4i","Dipeptidyl peptidase-4 inhibitors (DPP-4) (saxagliptin;...) intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Antidiabéticos (0-no; 1; sí) [Inhibidores alfa-glucosidasa (acarbosa;..)]","agi","Alpha-glucosidase inhibitors (acarbose;...) intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Antidiabéticos (0-no; 1; sí) [Insulina]","insulin","Insulin intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Hipolipemiantes; Antiagregantes; y Anticoagulantes (0 - no; 1 - sí) [Estatinas]","statins","Statins intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Hipolipemiantes; Antiagregantes; y Anticoagulantes (0 - no; 1 - sí) [Aspirina]","aspirin","Aspirin intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Hipolipemiantes; Antiagregantes; y Anticoagulantes (0 - no; 1 - sí) [Inhibidores P2Y12 (si/no tienopiridinas)]","p2y12b","P2Y12 receptor blockers intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Hipolipemiantes; Antiagregantes; y Anticoagulantes (0 - no; 1 - sí) [Inhibidores gp-IIb/IIIIa]","gIIbIIIai","Glycoprotein IIb IIIa inhibitors intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Hipolipemiantes; Antiagregantes; y Anticoagulantes (0 - no; 1 - sí) [ACOs (acenocumarol; warfarina)]","cumarinics","Cumarinic (acenocoumarol; warfarin) medications intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Hipolipemiantes; Antiagregantes; y Anticoagulantes (0 - no; 1 - sí) [NACOs]","noac","Novel oral anticoagulant medications (NOAC) intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Hipolipemiantes; Antiagregantes; y Anticoagulantes (0 - no; 1 - sí) [Dabigratran]","dabigatran","Dabigatran intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Hipolipemiantes; Antiagregantes; y Anticoagulantes (0 - no; 1 - sí) [Rivaroxaban]","rivaroxaban","Rivaroxaban intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Otros fármacos que toma no especificados (principio activo; 0 - no toma; 1234 - si no hay datos)","other_medications","Other relevant medications intake","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Sintomatología y AP (0-No; 1- Sí; 1234 - No se dispone) [Cefalea]","headache","Headache present at the hospital admission time","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","2",NA,"Predictor"
"Sintomatología y AP (0-No; 1- Sí; 1234 - No se dispone) [Vómitos]","emesis","Emesis present at the hospital admission time","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","3",NA,"Predictor"
"Sintomatología y AP (0-No; 1- Sí; 1234 - No se dispone) [Alteraciones visuales]","visual_disturbances","Visual disturbances present at the hospital admission time","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","3",NA,"Predictor"
"Sintomatología y AP (0-No; 1- Sí; 1234 - No se dispone) [Crisis]","seizures","Seizures present at the hospital admission time","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","3",NA,"Predictor"
"Sintomatología y AP (0-No; 1- Sí; 1234 - No se dispone) [Acude por traumatismo]","mh_trauma","Patient comes to the emergency department because of a head trauma","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","3",NA,"Predictor"
"Sintomatología y AP (0-No; 1- Sí; 1234 - No se dispone) [Traumatismo de baja energía]","mh_le_trauma","Patient comes to the emergency department because of a low-energy trauma","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","3",NA,"Predictor"
"Sintomatología y AP (0-No; 1- Sí; 1234 - No se dispone) [Traumatismo de alta energía]","mh_he_trauma","Patient comes to the emergency department because of a high-energy trauma","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Otra sintomatología (0 - no; 1 - si; 1234 - no hay datos)","other_symptoms","Other symptoms present at the hospital admission time","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","3",NA,"Predictor"
"TA sistólica (1234 - si no hay datos)","sbp","Admission systolic blood pressure (SBP) (mmHg)","numeric","int","int64","From 0 to inf; NA (Missing value)","300",NA,"Predictor"
"TA diastólica (1234 - si no hay datos)","dbp","Admission diastolic blood pressure (DBP) (mmHg)","numeric","int","int64","From 0 to inf; NA (Missing value)","300",NA,"Predictor"
"Saturación 02% (1234 - si no hay datos)","spo2","Admission oxygen saturation levels (SpO2)  (%)","numeric","int","int64","From 0 to inf; NA (Missing value)","300",NA,"Predictor"
"Temperatura (1234 - si no hay datos)","temperature","Admission temperature (°C)","numeric","int","int64","From 0 to inf; NA (Missing value)","300",NA,"Predictor"
"FC (1234 - si no hay datos)","bpm","Admission beats per minute (BPM) (bumps/minute)","numeric","int","int64","From 0 to inf; NA (Missing value)","300",NA,"Predictor"
"FR (1234 - si no hay datos)","rr","Admission respiratory rate (RR) (breaths/minute)","numeric","int","int64","From 0 to inf; NA (Missing value)","300",NA,"Predictor"
"Exploración (0-No; 1- Sí; 1234 - no se dispone) [Alteraciones neurológicas]","neurol_signs","Neurological symptoms or signs present at the hospital admission time","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","3",NA,"Predictor"
"Exploración (0-No; 1- Sí; 1234 - no se dispone) [Desviación ocular conjugada / diplopia]","diplopia","Diplopia present at the hospital admission time","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","3",NA,"Predictor"
"Exploración (0-No; 1- Sí; 1234 - no se dispone) [Anisocoria / alteraciones pupilares]","anisocoria","Anisocoria present at the hospital admission time","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","3",NA,"Predictor"
"Exploración (0-No; 1- Sí; 1234 - no se dispone) [Afasia/disfasia]","aphasia","Aphasia or dysphasia present at the hospital admission time","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","3",NA,"Predictor"
"Exploración (0-No; 1- Sí; 1234 - no se dispone) [Disartria]","dysarthria","Dysarthria present at the hospital admission time","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","3",NA,"Predictor"
"Exploración (0-No; 1- Sí; 1234 - no se dispone) [Alteración nivel de conciencia]","altered_consciousness","Altered state of consciousness present at the hospital admission time","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","3",NA,"Predictor"
"Exploración (0-No; 1- Sí; 1234 - no se dispone) [Rigidez nucal]","nuchal_rigidity","Nuchal rigidity present at the hospital admission time","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","3",NA,"Predictor"
"Exploración (0-No; 1- Sí; 1234 - no se dispone) [Parálisis facial central derecha]","rfacial_palsy","Right central facial palsy present at the hospital admission time","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","3",NA,"Predictor"
"Exploración (0-No; 1- Sí; 1234 - no se dispone) [Parálisis facial central izquierda]","lfacial_palsy","Left central facial palsy present at the hospital admission time","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","3",NA,"Predictor"
"Exploración (0-No; 1- Sí; 1234 - no se dispone) [Alteración motora miembro superior derecho]","ruplimb_mimpairment","Right upper limb motor impairment present at the hospital admission time","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","3",NA,"Predictor"
"Exploración (0-No; 1- Sí; 1234 - no se dispone) [Alteración motora miembro superior izquierdo]","luplimb_mimpairment","Left upper limb motor impairment present at the hospital admission time","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","3",NA,"Predictor"
"Exploración (0-No; 1- Sí; 1234 - no se dispone) [Alteración motora miembro inferior derecho]","rlwlimb_mimpairment","Right lower limb motor impairment present at the hospital admission time","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","3",NA,"Predictor"
"Exploración (0-No; 1- Sí; 1234 - no se dispone) [Alteración motora miembro inferior izquierdo]","llwlimb_mimpairment","Left lower limb motor impairment present at the hospital admission time","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","3",NA,"Predictor"
"Exploración (0-No; 1- Sí; 1234 - no se dispone) [Alteraciones del equilibrio o de la coordinación]","balance_impairment","Balance impairment present at the hospital admission time","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","3",NA,"Predictor"
"GCS (1234 - si no hay datos)","tgcs","Total Glasgow Coma Scale )(tGCS) at the admission in the emergency department","factor","int","category","From 3 to 15; NA (Missing value)","14",NA,"Predictor"
"Horas de evolución desde el inicio (0 - del despertar; 1234 - si no hay datos)","onset_h","Hours from the onset","numeric","int","int64","From 0 to inf; NA (Missing value)","300","0 = wake-up stroke","Predictor"
"Supervivencia (0 - no sobrevivió; 1 - sí sobrevivió; 1234 - no se dispone del dato) [Supervivencia al ingreso]","survival_discharge","Survival to hospitalization discharge","factor","int","category","0 (No); 1 (Yes)","2",NA,"Outcome"
"Supervivencia (0 - no sobrevivió; 1 - sí sobrevivió; 1234 - no se dispone del dato) [Supervivencia a los 3d]","survival_3d","Survival to the following three days after admission in the emergency department","factor","int","category","0 (No); 1 (Yes)","2",NA,"Outcome"
"Supervivencia (0 - no sobrevivió; 1 - sí sobrevivió; 1234 - no se dispone del dato) [Supervivencia a los 6d]","survival_6d","Survival to the following six days after admission in the emergency department","factor","int","category","0 (No); 1 (Yes)","2",NA,"Outcome"
"Supervivencia (0 - no sobrevivió; 1 - sí sobrevivió; 1234 - no se dispone del dato) [Supervivencia a los 9d]","survival_9d","Survival to the following nine days after admission in the emergency department","factor","int","category","0 (No); 1 (Yes)","2",NA,"Outcome"
"Supervivencia (0 - no sobrevivió; 1 - sí sobrevivió; 1234 - no se dispone del dato) [Supervivencia a los 12d]","survival_12d","Survival to the following twelve days after admission in the emergency department","factor","int","category","0 (No); 1 (Yes)","2",NA,"Outcome"
"Supervivencia (0 - no sobrevivió; 1 - sí sobrevivió; 1234 - no se dispone del dato) [Supervivencia a los 15d]","survival_15d","Survival to the following fifteen days after admission in the emergency department","factor","int","category","0 (No); 1 (Yes)","2",NA,"Outcome"
"Supervivencia (0 - no sobrevivió; 1 - sí sobrevivió; 1234 - no se dispone del dato) [Supervivencia al mes]","survival_1m","Survival to the following month admission in the emergency department","factor","int","category","0 (No); 1 (Yes)","2",NA,"Outcome"
"Supervivencia (0 - no sobrevivió; 1 - sí sobrevivió; 1234 - no se dispone del dato) [Supervivencia a los 3 meses]","survival_3m","Survival to the following three months after admission in the emergency department","factor","int","category","0 (No); 1 (Yes)","2",NA,"Outcome"
"Supervivencia (0 - no sobrevivió; 1 - sí sobrevivió; 1234 - no se dispone del dato) [Supervivencia al año]","survival_1y","Survival to the following year after admission in the emergency department","factor","int","category","0 (No); 1 (Yes)","2",NA,"Outcome"
"Supervivencia (0 - no sobrevivió; 1 - sí sobrevivió; 1234 - no se dispone del dato) [Supervivencia a los 5 años]","survival_5y","Survival to the following five years after admission in the emergency department","factor","int","category","0 (No); 1 (Yes)","2",NA,"Outcome"
"Supervivencia (0 - no sobrevivió; 1 - sí sobrevivió; 1234 - no se dispone del dato) [Supervivencia total]","survived","Survivor; still alive","factor","int","category","0 (No); 1 (Yes)","2",NA,"Outcome"
"Número ingresos en el siguiente año","hospitalizations_1y","Number of patient's hospitalizations during the following year after discharge","numeric","int","int64","From 0 to inf","300",NA,"Outcome/Predictor"
"Número ingresos en los siguientes 3 años","hospitalizations_3y","Number of patient's hospitalizations during the following three years after discharge","numeric","int","int64","From 0 to inf","300",NA,"Outcome/Predictor"
"Número ingresos en los siguientes 5 años","hospitalizations_5y","Number of patient's hospitalizations during the following five years after discharge","numeric","int","int64","From 0 to inf","300",NA,"Outcome/Predictor"
"Número de días de ingreso","hospitalization_days","Number of hospitalization days","numeric","int","int64","From 0 to inf","300",NA,"Outcome/Predictor"
"Número de días de ingreso en intensivos","hospitalization_icu_days","Number of hospitalization days in the Intensive Care Unit (ICU)","numeric","int","int64","From 0 to inf","300",NA,"Predictor"
"Causa del sangrado (0 - no; 1 - sí; 1234 - no se sabe) [Idiopática / no se conoce (hematomas primarios): localización HTA o angiopatía amiloide]","primary_ich","Idiopathic intracranial hemorrhage (ICH) / Primary intracranial hemorrhage (ICH) / Intracranial hemorrhage (ICH) in hypertensive or amyloid angiopathy locations","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Causa del sangrado (0 - no; 1 - sí; 1234 - no se sabe) [Causa tratable: aneurisma y MAV; o secundaria a cualquier malformación vascular (aneurisma; MAV; cavernoma (39)..;)]","vascular_ich","Intracranial hemorrhage (ICH) caused by a vascular malformation (aneurysm; arteriovenous malformation; cavernoma...)","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Causa del sangrado (0 - no; 1 - sí; 1234 - no se sabe) [Traumatismo]","traumatic_ich","Traumatic intracranial hemorrhage (ICH)","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Causa del sangrado (0 - no; 1 - sí; 1234 - no se sabe) [HTA] (14 - Probable eclampsia)","ht_ich","Intracranial hemorrhage (ICH) probably caused by hypertension (HT)","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Causa del sangrado (0 - no; 1 - sí; 1234 - no se sabe) [Angiopatía amiloide]","amyloidangiopathy_ich","Intracranial hemorrhage (ICH) probably caused by amyloid angiopathy","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Causa del sangrado (0 - no; 1 - sí; 1234 - no se sabe) [Aneurisma]","aneurysmal_ich","Intracranial hemorrhage (ICH) caused by an aneurysm rupture","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Causa del sangrado (0 - no; 1 - sí; 1234 - no se sabe) [MAV]","avm_ich","Intracranial hemorrhage (ICH) caused by an arteriovenous malformation (AVM)","factor","int","category","0 (No); 1 (Yes)","2",NA,"Predictor"
"Causa del sangrado (0 - no; 1 - TH (no fibrinolisis ni trombectomía); 2 - Postfibrinolisis (post-IAMCEST; TEP u otro procedimiento no neurointervencionista); 3 - TH / Postfibrinolisis; 4 - TH/ Postrombectomía; 5 - TH / Post-fibrinolisis / post-trombectomí","hti_ich","Intracranial hemorrhage (ICH) caused by an hemorrhagic transformation of a ischaemic brain infarct (HTI)","factor","int","category","0 (No); 1 (HTI in a patient who have not undergone interventional procedures); 2 (HTI + non stroke fibrinolysis - myocardial infarction...); 3 (HTI + stroke fibrinolysis); 4 (HTI + trombectomy); 5 (HTI + stroke fibrinolysis + trombectomy)","7",NA,"Predictor"
"Causa del sangrado (0 - no; 1 - sí; 1234 - no se sabe) [Otra causa: paciente 178 - embolismos sépticos y tratamiento anticoagulante; 185 - Infarto hemorrágico post-trombosis senos SS y SGD; 260 - Hemorrgia tras trombosis SS; ST y SGD]","other_ich","Intracranial hemorrhage (ICH) caused by other causes (bleeding after cerebral venous sinus thrombosis; septic cerebral emboli with bleeding)","factor","int","category","0 (No); 1 (Yes); NA (Missing value)","3",NA,"Predictor"
"Neurocirugía (0 - no; 1 - sí; 2 - VDVP; 1234 - no se sabe)","neurosurg","The intracranial hemorrhage (ICH) has been treated with neurosurgery","factor","int","category","0 (No); 1 (Yes); 2 (VP shunt)","3",NA,"Outcome"
"Intervencionismo (0 - no; 1 - sí; 1234 - no se sabe)","interprocedures","The intracranial hemorrhage (ICH) has been treated with intravascular procedures","factor","int","category","0 (No); 1 (Yes)","2",NA,"Outcome"
"Glucosa (mg/dL) (1234 - si no dispone de datos)","glucose","Glucose level (mg/dL) at the arrival to the emergency department","numeric","int","int64","From 0 to inf, NA (Missing value)","300",NA,"Predictor"
"Urea (mg/dL) (1234 - si no dispone de datos)","urea","Urea level (mg/dL) at the arrival to the emergency department","numeric","int","int64","From 0 to inf, NA (Missing value)","300",NA,"Predictor"
"Creatinina (mg/dL) (1234 - si no dispone de datos)","creatinine","Creatinine level (mg/dL) at the arrival to the emergency department","numeric","float","float64","From 0 to inf, NA (Missing value)","300",NA,"Predictor"
"Sodio (mg/dL) (1234 - si no dispone de datos)","sodium","Sodium level (mg/dL) at the arrival to the emergency department","numeric","int","int64","From 0 to inf, NA (Missing value)","300",NA,"Predictor"
"Potasio (mg/dL) (1234 - si no dispone de datos)","potasium","Potasium level (mEq/L) at the arrival to the emergency department","numeric","float","float64","From 0 to inf, NA (Missing value)","300",NA,"Predictor"
"FGR (mL/min/1.73m2) (1234 - si no dispone de datos)","egfr","Estimated glomerular filtration rate (eGFR) mesuared (mL/min/1.73m2) at the arrival to the emergency department","numeric","float","float64","From 0 to inf, NA (Missing value)","300","60.1 mL/min/1.73 m2 = > 60 mL/min/1.73 m2","Predictor"
"Actividad de Protrombina (%) (1234 - si no dispone de datos)","prothrombin_activity","Prothrombin time activity percent (%) at the arrival to the emergency departments","numeric","int","int64","From 0 to inf, NA (Missing value)","300",NA,"Predictor"
"Leucocitos (10^3/uL) (1234 - si no dispone de datos)","leukocytes","Leukocytes (10^3/uL) at the arrival to the emergency department","numeric","float","float64","From 0 to inf, NA (Missing value)","300",NA,"Predictor"
"Hematíes (10^6/uL) (1234 - si no dispone de datos)","erythrocytes","Erythrocytes (10^6/uL) at the arrival to the emergency department","numeric","float","float64","From 0 to inf, NA (Missing value)","300",NA,"Predictor"
"Hemoglobina (g/dL) (1234 - si no dispone de datos)","hemoglobin","Hemoglobin level (g/dL) at the arrival to the emergency department","numeric","float","float64","From 0 to inf, NA (Missing value)","300",NA,"Predictor"
"Hematocrito (%) (1234 - si no dispone de datos)","hematocrit","Hematocrit (%) at the arrival to the emergency department","numeric","float","float64","From 0 to inf, NA (Missing value)","300",NA,"Predictor"
